Tên khuyến mại,Ngày bắt đầu,Ngày kết thúc,Chiến dịch,Ngành hàng,Mã giảm giá,Thông tin mã giảm giá,Mô tả khuyến mại,Banner link,Mã Nhúng Banner,Kích thước banner,Link gốc,Link phân phối
[GIAYHANAM]-Giảm 8K,13-09-2021,30-09-2021,TIKI,Khác,11112,,Giảm 8K,,,,https://tiki.vn/cua-hang/giayhanam?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/giayhanam?ref=sansandeals
[199x Sport Design]-Giảm 10K cho đơn hàng từ 400K,13-09-2021,30-09-2021,TIKI,Khác,199X_10K,,Giảm 10K cho đơn hàng từ 400K,,,,https://tiki.vn/cua-hang/199x-sport-design?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/199x-sport-design?ref=sansandeals
[3COSTY FASHION]-Giảm 10% tối đa 20K cho đơn hàng từ 499K,13-09-2021,31-12-2021,TIKI,Khác,3CO10P,,Giảm 10% tối đa 20K cho đơn hàng từ 499K,,,,https://tiki.vn/cua-hang/3costy-fashion?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/3costy-fashion?ref=sansandeals
[4LOVA]-Giảm 10% tối đa 30K cho đơn hàng từ 149K,13-09-2021,19-09-2021,TIKI,Khác,4LOVA149,,Giảm 10% tối đa 30K cho đơn hàng từ 149K,,,,https://tiki.vn/cua-hang/4lova?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/4lova?ref=sansandeals
[4U Shop]-Giảm 10K cho đơn hàng từ 190K,13-09-2021,30-09-2021,TIKI,Khác,4U10KA,,Giảm 10K cho đơn hàng từ 190K,,,,https://tiki.vn/cua-hang/4u-shop?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/4u-shop?ref=sansandeals
[4U Shop]-Giảm 30K cho đơn hàng từ 449K,13-09-2021,30-09-2021,TIKI,Khác,4U30K,,Giảm 30K cho đơn hàng từ 449K,,,,https://tiki.vn/cua-hang/4u-shop?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/4u-shop?ref=sansandeals
[5S OFFICIAL]-Giảm 10% tối đa 50K,13-09-2021,30-09-2021,TIKI,Khác,5SGIAM50K,,Giảm 10% tối đa 50K,,,,https://tiki.vn/cua-hang/thoi-trang-thuong-hieu-viet?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/thoi-trang-thuong-hieu-viet?ref=sansandeals
[ABCBOOKS]-Giảm 50K cho đơn hàng từ 1 triệu,13-09-2021,01-05-2022,TIKI,Khác,ALPHA50K,,Giảm 50K cho đơn hàng từ 1 triệu,,,,https://tiki.vn/cua-hang/abcbooks?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/abcbooks?ref=sansandeals
[AFAST VIỆT NAM]-Giảm 10K cho đơn hàng từ 249K,13-09-2021,29-10-2021,TIKI,Khác,AF10K,,Giảm 10K cho đơn hàng từ 249K,,,,https://tiki.vn/cua-hang/afast-viet-nam?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/afast-viet-nam?ref=sansandeals
[AFAST VIỆT NAM]-Giảm 15K cho đơn hàng từ 499K,13-09-2021,29-10-2021,TIKI,Khác,AF15K,,Giảm 15K cho đơn hàng từ 499K,,,,https://tiki.vn/cua-hang/afast-viet-nam?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/afast-viet-nam?ref=sansandeals
